State, rank17, STATE, 0.006188, 0.006189, 0.000001, 0.000000, MPI_Comm_size
State, rank17, STATE, 0.006242, 0.046329, 0.040087, 0.000000, MPI_Scatter
State, rank17, STATE, 0.046329, 0.178903, 0.132573, 0.000000, MPI_Bcast
State, rank17, STATE, 0.977135, 0.977683, 0.000548, 0.000000, MPI_Gather
State, rank17, STATE, 0.977874, 2.820265, 1.842391, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00791574, 2.82016, 2.81224, rank16
State, rank16, STATE, 0.007918, 0.007918, 0.000000, 0.000000, MPI_Comm_rank
State, rank16, STATE, 0.007919, 0.007921, 0.000002, 0.000000, MPI_Comm_size
State, rank16, STATE, 0.008003, 0.046216, 0.038212, 0.000000, MPI_Scatter
State, rank16, STATE, 0.046217, 0.212876, 0.166659, 0.000000, MPI_Bcast
State, rank16, STATE, 1.636070, 1.753751, 0.117682, 0.000000, MPI_Gather
State, rank16, STATE, 1.753912, 2.820160, 1.066248, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0154438, 2.81974, 2.80429, rank15
State, rank15, STATE, 0.015445, 0.015446, 0.000001, 0.000000, MPI_Comm_rank
State, rank15, STATE, 0.015447, 0.015460, 0.000012, 0.000000, MPI_Comm_size
State, rank15, STATE, 0.015545, 0.045883, 0.030338, 0.000000, MPI_Scatter
State, rank15, STATE, 0.045885, 0.152993, 0.107108, 0.000000, MPI_Bcast
State, rank15, STATE, 1.399622, 1.400609, 0.000987, 0.000000, MPI_Gather
State, rank15, STATE, 1.400800, 2.819737, 1.418937, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0131345, 2.81807, 2.80494, rank14
State, rank14, STATE, 0.013136, 0.013136, 0.000000, 0.000000, MPI_Comm_rank
State, rank14, STATE, 0.013137, 0.013138, 0.000001, 0.000000, MPI_Comm_size
State, rank14, STATE, 0.013209, 0.045493, 0.032284, 0.000000, MPI_Scatter
State, rank14, STATE, 0.045495, 0.150997, 0.105502, 0.000000, MPI_Bcast
State, rank14, STATE, 1.391799, 1.401216, 0.009417, 0.000000, MPI_Gather
State, rank14, STATE, 1.401372, 2.818072, 1.416699, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00116134, 2.81719, 2.81603, rank13
State, rank13, STATE, 0.001162, 0.001162, 0.000000, 0.000000, MPI_Comm_rank
State, rank13, STATE, 0.001163, 0.001163, 0.000000, 0.000000, MPI_Comm_size
State, rank13, STATE, 0.001208, 0.045193, 0.043985, 0.000000, MPI_Scatter
State, rank13, STATE, 0.045194, 0.151559, 0.106365, 0.000000, MPI_Bcast
State, rank13, STATE, 1.748360, 1.748749, 0.000389, 0.000000, MPI_Gather
State, rank13, STATE, 1.749095, 2.817188, 1.068093, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00848222, 2.82025, 2.81177, rank12
State, rank12, STATE, 0.008483, 0.008484, 0.000000, 0.000000, MPI_Comm_rank
State, rank12, STATE, 0.008484, 0.008484, 0.000000, 0.000000, MPI_Comm_size
State, rank12, STATE, 0.008543, 0.044612, 0.036068, 0.000000, MPI_Scatter
State, rank12, STATE, 0.044613, 0.152505, 0.107892, 0.000000, MPI_Bcast
State, rank12, STATE, 0.964717, 1.750450, 0.785733, 0.000000, MPI_Gather
State, rank12, STATE, 1.750615, 2.820255, 1.069640, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00898862, 2.81822, 2.80924, rank11
State, rank11, STATE, 0.008990, 0.008990, 0.000000, 0.000000, MPI_Comm_rank
State, rank11, STATE, 0.008990, 0.008991, 0.000001, 0.000000, MPI_Comm_size
State, rank11, STATE, 0.009036, 0.044484, 0.035448, 0.000000, MPI_Scatter
State, rank11, STATE, 0.044486, 0.173793, 0.129307, 0.000000, MPI_Bcast
State, rank11, STATE, 1.452346, 1.453104, 0.000758, 0.000000, MPI_Gather
State, rank11, STATE, 1.453308, 2.818225, 1.364917, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00670719, 2.8178, 2.81109, rank10
State, rank10, STATE, 0.006708, 0.006709, 0.000000, 0.000000, MPI_Comm_rank
State, rank10, STATE, 0.006710, 0.006711, 0.000001, 0.000000, MPI_Comm_size
State, rank10, STATE, 0.006782, 0.044122, 0.037340, 0.000000, MPI_Scatter
State, rank10, STATE, 0.044124, 0.165666, 0.121542, 0.000000, MPI_Bcast
